,2018 Rank,City,State,2018 estimate,2010 census,Percentage of change,Land area sq mi,Land area sq km,Population density /sq mi,Population density /sq km,Location,Link,LD,SD
140,140,Sioux Falls,South Dakota,181883,153888,18.19,75.4,195.3,2312,893,43°32′18″N96°43′55″W﻿ / ﻿43.5383°N 96.7320°W﻿ /43.5383; -96.7320﻿ ,"/wiki/Sioux_Falls,_South_Dakota","South Dakota's largest city lives up to its name at Falls Park, where the Big Sioux River plunges through a long series of rock faces. Just south of here lies a buzzing downtown district with a burgeoning foodie scene and some of the best eats in the region.", 
141,141,Ontario,California,181107,163924,10.48,49.9,129.2,3471,1340,34°02′22″N117°36′15″W﻿ / ﻿34.0394°N 117.6042°W﻿ /34.0394; -117.6042﻿ ,"/wiki/Ontario,_California","The breathtaking four-seasonal palette of Ontario's vast wilderness, endless forests and abundant wildlife awaits. Around 40% of Canada’s population lives here for good reason: Ontario is larger than France and Spain combined. Over 250,000 lakes, including the Great Lakes bordering the US, contain a fifth of the planet's fresh water.",
142,142,Chattanooga,Tennessee,180557,167674,7.68,143.1,370.6,1241,479,35°03′58″N85°14′54″W﻿ / ﻿35.0660°N 85.2484°W﻿ /35.0660; -85.2484﻿ ,"/wiki/Chattanooga,_Tennessee","Chattanooga has charisma to spare. With world-class rock climbing, hiking, cycling and water-sports opportunities, it's one of the South's best cities for outdoorsy types. It's gorgeous, too: just check out those views from the Bluff View Art District! It's also remarkably eco-forward, with free electric buses, miles of well-used waterfront trails, and pedestrian bridges crossing the Tennessee River. All this makes it hard to credit its reputation in the 1960s as America's dirtiest city.",is an outdoor adventure
143,143,Providence,Rhode Island,179335,178042,0.73,18.4,47.7,9740,3760,41°49′23″N71°25′08″W﻿ / ﻿41.8231°N 71.4188°W﻿ /41.8231; -71.4188﻿ ,"/wiki/Providence,_Rhode_Island","Atop the confluence of the Providence, Moshassuck and Woonasquatucket Rivers, Rhode Island's capital city offers some of the finest urban strolling in New England: around Brown University's historic campus on 18th-century College Hill, along the landscaped Riverwalk trail, and through downtown's handsome streets and lanes with their hip cafes, art-house theaters, fusion restaurants and trendsetting bars.",
144,144,Newport News,Virginia,178626,180719,−1.16,69.1,179,2631,1016,37°04′34″N76°31′19″W﻿ / ﻿37.0762°N 76.5220°W﻿ /37.0762; -76.5220﻿ ,"/wiki/Newport_News,_Virginia","The city of Newport News comes off as a prime example of suburban sprawl, but there are a couple of attractions here, notably the amazing Mariners' Museum, that may justify a quick detour off the main highway for those driving southeast from Williamsburg.", 
145,145,Rancho Cucamonga,California,177751,165269,7.55,40,103.6,4413,1704,34°07′24″N117°33′51″W﻿ / ﻿34.1233°N 117.5642°W﻿ /34.1233; -117.5642﻿ ,"/wiki/Rancho_Cucamonga,_California",,
146,146,Santa Rosa,California,177586,167815,5.82,41.3,107,4241,1637,38°26′48″N122°42′22″W﻿ / ﻿38.4468°N 122.7061°W﻿ /38.4468; -122.7061﻿ ,"/wiki/Santa_Rosa,_California",,
147,147,Oceanside,California,176080,167086,5.38,41.3,107,4249,1641,33°13′28″N117°18′22″W﻿ / ﻿33.2245°N 117.3062°W﻿ /33.2245; -117.3062﻿ ,"/wiki/Oceanside,_California",,
148,148,Salem,Oregon,173442,154637,12.16,48.6,125.9,3445,1330,44°55′25″N123°01′24″W﻿ / ﻿44.9237°N 123.0232°W﻿ /44.9237; -123.0232﻿ ,"/wiki/Salem,_Oregon","The state capital is a peaceful and homely university city that exudes a slightly conservative air and is a popular destination for conferences. Salem makes a good day trip from Portland, WA, as it's just an hour's drive south. Highlights include the state capitol itself and a few museums, along with a pleasant riverfront park complete with carousel. Outside the city limits are more interesting destinations, like a spectacular state park, an engaging hilltop abbey and a beautiful themed garden.", 
149,149,Elk Grove,California,172886,153015,12.99,42.2,109.3,4022,1553,38°24′53″N121°23′06″W﻿ / ﻿38.4146°N 121.3850°W﻿ /38.4146; -121.3850﻿ ,"/wiki/Elk_Grove,_California",,
150,150,Garden Grove,California,172646,170883,1.03,18,46.6,9714,3751,33°46′44″N117°57′38″W﻿ / ﻿33.7788°N 117.9605°W﻿ /33.7788; -117.9605﻿ ,"/wiki/Garden_Grove,_California",,
151,151,Pembroke Pines,Florida,172374,154019,11.92,33,85.5,5109,1973,26°01′16″N80°20′25″W﻿ / ﻿26.0210°N 80.3404°W﻿ /26.0210; -80.3404﻿ ,"/wiki/Pembroke_Pines,_Florida",,
152,152,Peoria,Arizona,172259,154065,11.81,175.7,455.1,934,361,33°47′10″N112°18′29″W﻿ / ﻿33.7862°N 112.3080°W﻿ /33.7862; -112.3080﻿ ,"/wiki/Peoria,_Arizona",,
153,153,Eugene,Oregon,171245,156185,9.64,44.1,114.2,3777,1458,44°03′24″N123°06′58″W﻿ / ﻿44.0567°N 123.1162°W﻿ /44.0567; -123.1162﻿ ,"/wiki/Eugene,_Oregon","Full of youthful energy, liberal politics and alternative lifestylers, fun-loving, eclectic Eugene is a vibrant stop along I-5. Also known as 'Tracktown,' the city is famous for its track-and-field champions – Nike was born here, after all. And while Eugene maintains a working-class base in timber and manufacturing, some of the state's most unconventional citizens live here too – ex-hippie activists, eco-green anarchists, upscale entrepreneurs and high-tech heads.",
154,154,Corona,California,168819,152374,10.79,39.5,102.3,4222,1630,33°51′43″N117°33′56″W﻿ / ﻿33.8620°N 117.5655°W﻿ /33.8620; -117.5655﻿ ,"/wiki/Corona,_California",,
155,155,Cary,North Carolina,168160,135234,24.35,56.5,146.3,2873,1109,35°46′51″N78°48′48″W﻿ / ﻿35.7809°N 78.8133°W﻿ /35.7809; -78.8133﻿ ,"/wiki/Cary,_North_Carolina",,
156,156,Springfield,Missouri,168122,159498,5.41,82.3,213.2,2033,785,37°11′39″N93°17′29″W﻿ / ﻿37.1942°N 93.2913°W﻿ /37.1942; -93.2913﻿ ,"/wiki/Springfield,_Missouri",,
157,157,Fort Collins,Colorado,167830,143986,16.56,55.8,144.5,2943,1136,40°32′54″N105°03′53″W﻿ / ﻿40.5482°N 105.0648°W﻿ /40.5482; -105.0648﻿ ,"/wiki/Fort_Collins,_Colorado","Fort Collins is unassuming, direct, free-loving and gorgeous. The core downtown areas feature a world-class university campus, raucous nightlife, playful Victorian houses and tree-bordered avenues, a restaurant pedestrian zone, more brewpubs than you can possibly visit in a week, and a delightfully chilled air that feels unpretentious, honest and just about as open as you can get.", 
158,158,Jackson,Mississippi,164422,173514,−5.24,111,287.5,1524,588,32°18′57″N90°12′46″W﻿ / ﻿32.3158°N 90.2128°W﻿ /32.3158; -90.2128﻿ ,"/wiki/Jackson,_Mississippi","Mississippi's capital and largest city mixes stately residential areas with large swaths of blight, peppered throughout with a surprisingly funky arts-cum-hipster scene in the Fondren District. The recent opening of the Museum of Mississippi History and the adjacent Mississippi Civil Rights Museum has boosted the appeal of downtown and drawn national acclaim – now if city officials would just do something about the terrible condition of its streets. Trust us, they're bad, especially the potholes. On the bright side, there's a slew of decent bars, good restaurants and a lot of love for live music; it's easy to have a good time in Jackson.",
159,159,Alexandria,Virginia,160530,139966,14.69,15,38.8,10387,4010,38°49′12″N77°05′03″W﻿ / ﻿38.8201°N 77.0841°W﻿ /38.8201; -77.0841﻿ ,"/wiki/Alexandria,_Virginia",,
160,160,Hayward,California,159620,144186,10.7,45.5,117.8,3493,1349,37°37′43″N122°06′09″W﻿ / ﻿37.6287°N 122.1024°W﻿ /37.6287; -122.1024﻿ ,"/wiki/Hayward,_California",,
161,161,Lancaster,California,159053,156633,1.55,94.3,244.2,1698,656,34°41′37″N118°10′31″W﻿ / ﻿34.6936°N 118.1753°W﻿ /34.6936; -118.1753﻿ ,"/wiki/Lancaster,_California","Lancashire's handsome Georgian county town is a quiet enough burg these days, but its imposing castle and beautiful, honey-coloured architecture are evidence of its former power and wealth accrued in its 18th-century heyday, when it was an important trading port and a key player in the slave trade.", 
162,162,Lakewood,Colorado,156798,142980,9.66,42.9,111.1,3599,1390,39°41′56″N105°07′03″W﻿ / ﻿39.6989°N 105.1176°W﻿ /39.6989; -105.1176﻿ ,"/wiki/Lakewood,_Colorado",,
163,163,Clarksville,Tennessee,156794,132929,17.95,98.3,254.6,1529,590,36°33′59″N87°20′43″W﻿ / ﻿36.5664°N 87.3452°W﻿ /36.5664; -87.3452﻿ ,"/wiki/Clarksville,_Tennessee",,
164,164,Palmdale,California,156667,152750,2.56,106,274.5,1484,573,34°35′28″N118°06′19″W﻿ / ﻿34.5910°N 118.1054°W﻿ /34.5910; -118.1054﻿ ,"/wiki/Palmdale,_California",,
165,165,Salinas,California,156259,150441,3.87,23.6,61.1,6662,2572,36°41′25″N121°38′01″W﻿ / ﻿36.6902°N 121.6337°W﻿ /36.6902; -121.6337﻿ ,"/wiki/Salinas,_California","Best known as the birthplace of John Steinbeck and nicknamed the ‘Salad Bowl of the World,’ Salinas is a working-class agricultural center with down-and-out streets. It makes a thought-provoking contrast with the affluence of the Monterey Peninsula, a fact of life that helped shape Steinbeck’s novel East of Eden. Historic downtown stretches along Main St, with the National Steinbeck Center capping off its northern end.", 
166,166,Springfield,Massachusetts,155032,153060,1.29,31.9,82.6,4830,1860,42°06′56″N72°32′24″W﻿ / ﻿42.1155°N 72.5400°W﻿ /42.1155; -72.5400﻿ ,"/wiki/Springfield,_Massachusetts",,
167,167,Hollywood,Florida,154823,140768,9.98,27.3,70.7,5568,2150,26°01′52″N80°09′53″W﻿ / ﻿26.0310°N 80.1646°W﻿ /26.0310; -80.1646﻿ ,"/wiki/Hollywood,_Florida","No other corner of LA is steeped in as much mythology as Hollywood. It's here that you'll find the Hollywood Walk of Fame, the Capitol Records Tower and Grauman's Chinese Theatre, where the hand- and footprints of entertainment deities are immortalized in concrete. Look beyond the tourist-swamped landmarks of Hollywood Blvd and you'll discover a nuanced, multifaceted neighborhood where industrial streets are punctuated by edgy galleries and boutiques, where strip malls hide swinging French bistro,s and where steep, sleepy streets harbor the homes of long-gone silver-screen stars.",
168,168,Pasadena,Texas,153219,149043,2.8,43.5,112.7,3525,1361,29°39′31″N95°09′02″W﻿ / ﻿29.6586°N 95.1506°W﻿ /29.6586; -95.1506﻿ ,"/wiki/Pasadena,_Texas","One could argue that there's more blue-blood, meat-eating, robust Americana in Pasadena than in all other LA neighborhoods combined. Here you'll find a community with a preppy old soul, a historical perspective, an appreciation for art and jazz and a progressive undercurrent. The Rose Parade and Rose Bowl football game may have given Pasadena its long-lasting fame, but it’s the spirit of this genteel city and its location beneath the lofty San Gabriel Mountains that make it a charming and attractive place to visit year-round.", 
169,169,Sunnyvale,California,153185,140081,9.35,22,57,6944,2681,37°23′09″N122°01′35″W﻿ / ﻿37.3858°N 122.0263°W﻿ /37.3858; -122.0263﻿ ,"/wiki/Sunnyvale,_California",,
170,170,Macon,Georgia,153095,91351,67.59,249.3,645.7,612,236,32°48′32″N83°41′39″W﻿ / ﻿32.8088°N 83.6942°W﻿ /32.8088; -83.6942﻿ ,"/wiki/Macon,_Georgia",,
171,171,Kansas City,Kansas,152958,145786,4.92,124.8,323.2,1216,470,39°07′21″N94°44′30″W﻿ / ﻿39.1225°N 94.7418°W﻿ /39.1225; -94.7418﻿ ,"/wiki/Kansas_City,_Kansas","With its fiery barbecues (100-plus joints smoke it up), bubbling fountains (more than 200; on par with Rome) and blaring jazz, Kansas City may just be the coolest city in America nobody's talking about. It's certainly a don't-miss Great Plains highlight with world-class museums and quirky art-filled neighborhoods that jostle for your attention. You can easily run aground for several days as you tune into the local vibe.",is a Great Plains highlight
172,172,Pomona,California,152361,149058,2.22,23,59.6,6630,2560,34°03′31″N117°45′40″W﻿ / ﻿34.0585°N 117.7611°W﻿ /34.0585; -117.7611﻿ ,"/wiki/Pomona,_California",,
173,173,Escondido,California,152213,143911,5.77,37.1,96.1,4087,1578,33°07′59″N117°04′26″W﻿ / ﻿33.1331°N 117.0740°W﻿ /33.1331; -117.0740﻿ ,"/wiki/Escondido,_California",,
174,174,Killeen,Texas,149103,127921,16.56,53.5,138.6,2680,1030,31°04′40″N97°43′55″W﻿ / ﻿31.0777°N 97.7320°W﻿ /31.0777; -97.7320﻿ ,"/wiki/Killeen,_Texas",,
175,175,Naperville,Illinois,148304,141853,4.55,38.7,100.2,3802,1468,41°44′57″N88°09′43″W﻿ / ﻿41.7492°N 88.1620°W﻿ /41.7492; -88.1620﻿ ,"/wiki/Naperville,_Illinois",,
176,176,Joliet,Illinois,148099,147433,0.45,64.4,166.8,2302,889,41°31′04″N88°08′56″W﻿ / ﻿41.5177°N 88.1488°W﻿ /41.5177; -88.1488﻿ ,"/wiki/Joliet,_Illinois",,
177,177,Bellevue,Washington,147599,122363,20.62,33.5,86.8,4221,1630,47°35′52″N122°09′23″W﻿ / ﻿47.5979°N 122.1565°W﻿ /47.5979; -122.1565﻿ ,"/wiki/Bellevue,_Washington",,
178,178,Rockford,Illinois,146526,152871,−4.15,63.5,164.5,2325,898,42°15′32″N89°03′53″W﻿ / ﻿42.2588°N 89.0646°W﻿ /42.2588; -89.0646﻿ ,"/wiki/Rockford,_Illinois",,
179,179,Savannah,Georgia,145862,136286,7.03,103.6,268.3,1417,547,32°00′09″N81°09′13″W﻿ / ﻿32.0025°N 81.1536°W﻿ /32.0025; -81.1536﻿ ,"/wiki/Savannah,_Georgia","Rife with elegant townhouses, antebellum mansions, green public squares, pristine tidal freshwater marshes and mammoth oak trees bedecked in moss, Savannah is a beautiful and culturally rich city.",is architecture and art
180,180,Paterson,New Jersey,145627,146199,−0.39,8.4,21.8,17500,6800,40°54′53″N74°09′46″W﻿ / ﻿40.9148°N 74.1628°W﻿ /40.9148; -74.1628﻿ ,"/wiki/Paterson,_New_Jersey",,
181,181,Torrance,California,145182,145438,−0.18,20.5,53.1,7180,2770,33°50′06″N118°20′29″W﻿ / ﻿33.8350°N 118.3414°W﻿ /33.8350; -118.3414﻿ ,"/wiki/Torrance,_California",,
182,182,Bridgeport,Connecticut,144900,144229,0.47,16.1,41.7,9064,3500,41°11′15″N73°11′45″W﻿ / ﻿41.1874°N 73.1958°W﻿ /41.1874; -73.1958﻿ ,"/wiki/Bridgeport,_Connecticut","Barely three blocks long, set amid an open high valley and in view of the peaks of Sawtooth Ridge, Bridgeport flaunts classic Western flair with charming old storefronts and a homey ambience. Almost everything shuts down or cuts back its hours for the brutal winters, but the rest of the year the town is a magnet for anglers, hikers, climbers and hot-spring devotees.", 
183,183,McAllen,Texas,143433,129877,10.44,58.4,151.3,2435,940,26°13′56″N98°14′47″W﻿ / ﻿26.2322°N 98.2464°W﻿ /26.2322; -98.2464﻿ ,"/wiki/McAllen,_Texas","McAllen is not only near the Mexican border, but also a natural border. To the east are the lush green lands of the Rio Grande Valley, with farms, palm trees and fast-sprouting population. To the west is the beginning of the Chihuahuan Desert, where the land becomes more barren and the climate increasingly arid.", 
184,184,Mesquite,Texas,142816,139824,2.14,47.2,122.2,3045,1176,32°45′46″N96°35′20″W﻿ / ﻿32.7629°N 96.5888°W﻿ /32.7629; -96.5888﻿ ,"/wiki/Mesquite,_Texas","Just over an hour's drive northeast of Las Vegas, Mesquite straddles the Nevada–Arizona state line although its closest neighbor is the city of St George in Utah, 49 miles northeast. It's stuffed full of casino hotels cashing in on slot-starved visitors from its sister states and has no less than six pristine golf courses for those who fancy a round.", 
185,185,Syracuse,New York,142749,145170,−1.67,25,64.7,5735,2214,43°02′28″N76°08′37″W﻿ / ﻿43.0410°N 76.1436°W﻿ /43.0410; -76.1436﻿ ,"/wiki/Syracuse,_New_York","More than any other city, Syracuse encapsulates Sicily's timeless beauty. Ancient Greek ruins rise out of lush citrus orchards, cafe tables spill onto dazzling baroque piazzas, and honey-hued medieval lanes lead down to the sparkling blue sea. It's difficult to imagine now but in its heyday this was the largest city in the ancient world, bigger even than Athens and Corinth. Its 'Once upon a Time' begins in 734 BC, when Corinthian colonists landed on the island of Ortygia and founded the settlement, setting up the mainland city four years later. Almost three millennia later, the ruins of that then-new city constitute the Parco Archeologico della Neapolis, one of Sicily's greatest archaeological sites. Across the water from the mainland, Ortygia remains the city's most beautiful corner, a casually chic, eclectic marvel with an ever-growing legion of fans.",is a golden vision
186,186,Midland,Texas,142344,111147,28.07,74.4,192.7,1809,698,32°01′29″N102°06′49″W﻿ / ﻿32.0246°N 102.1135°W﻿ /32.0246; -102.1135﻿ ,"/wiki/Midland,_Texas",,
187,187,Pasadena,California,141371,137122,3.1,23,59.6,6176,2385,34°09′38″N118°08′23″W﻿ / ﻿34.1606°N 118.1396°W﻿ /34.1606; -118.1396﻿ ,"/wiki/Pasadena,_California","One could argue that there's more blue-blood, meat-eating, robust Americana in Pasadena than in all other LA neighborhoods combined. Here you'll find a community with a preppy old soul, a historical perspective, an appreciation for art and jazz and a progressive undercurrent. The Rose Parade and Rose Bowl football game may have given Pasadena its long-lasting fame, but it’s the spirit of this genteel city and its location beneath the lofty San Gabriel Mountains that make it a charming and attractive place to visit year-round.", 
188,188,Murfreesboro,Tennessee,141344,108755,29.97,55.9,144.8,2360,910,35°51′08″N86°24′58″W﻿ / ﻿35.8522°N 86.4160°W﻿ /35.8522; -86.4160﻿ ,"/wiki/Murfreesboro,_Tennessee",,
189,189,Miramar,Florida,140823,122041,15.39,29.4,76.1,4709,1818,25°58′37″N80°20′09″W﻿ / ﻿25.9770°N 80.3358°W﻿ /25.9770; -80.3358﻿ ,"/wiki/Miramar,_Florida",,
190,190,Dayton,Ohio,140640,141527,−0.63,55.7,144.3,2522,974,39°46′39″N84°11′59″W﻿ / ﻿39.7774°N 84.1996°W﻿ /39.7774; -84.1996﻿ ,"/wiki/Dayton,_Ohio","Dayton leans hard on its 'Birthplace of Aviation' tagline, and the Wright sights deliver. It's surprisingly moving to see the cluttered workshop where Orville and Wilbur conjured their ideas and the lonely field where they tested their plane. Then there's the Air Force museum, a mind-blowing expanse for aviation buffs. The vast complex of hangars holds just about every aircraft you can think of through the ages.", 
191,191,Fullerton,California,139640,135161,3.31,22.4,58,6282,2425,33°53′09″N117°55′41″W﻿ / ﻿33.8857°N 117.9280°W﻿ /33.8857; -117.9280﻿ ,"/wiki/Fullerton,_California",,
192,192,Olathe,Kansas,139605,125872,10.91,60.9,157.7,2225,859,38°53′03″N94°49′10″W﻿ / ﻿38.8843°N 94.8195°W﻿ /38.8843; -94.8195﻿ ,"/wiki/Olathe,_Kansas",,
193,193,Orange,California,139484,136416,2.25,25.4,65.8,5532,2136,33°47′13″N117°51′41″W﻿ / ﻿33.7870°N 117.8613°W﻿ /33.7870; -117.8613﻿ ,"/wiki/Orange,_California","LA and Orange County are the closest of neighbors, but in some ways they couldn't be more different. If LA is about stars, the OC is about surfers. LA: ever more urban, OC: proudly suburban, built around cars, freeways and shopping malls. If LA is SoCal's seat of liberal thinking, the OC's heritage is of megachurches and ultraconservative firebrands. If LA is Hollywood glam, the OC is Real Housewives.", 
194,194,Thornton,Colorado,139436,118772,17.4,35.7,92.5,3829,1478,39°55′10″N104°56′34″W﻿ / ﻿39.9194°N 104.9428°W﻿ /39.9194; -104.9428﻿ ,"/wiki/Thornton,_Colorado",,
195,195,Roseville,California,139117,118788,17.11,43,111.4,3085,1191,38°46′08″N121°19′08″W﻿ / ﻿38.7690°N 121.3189°W﻿ /38.7690; -121.3189﻿ ,"/wiki/Roseville,_California",,
196,196,Denton,Texas,138541,113383,22.19,93.4,241.9,1433,553,33°13′00″N97°08′29″W﻿ / ﻿33.2166°N 97.1414°W﻿ /33.2166; -97.1414﻿ ,"/wiki/Denton,_Texas","A bastion of college cool and indie cred, Denton has a good music scene. Home to the University of North Texas and its renowned arts programs, the fast-growing city rightfully claims the title as the most musical city in the region. The downtown, centered on Courthouse Sq, boasts a plethora of music venues, music shops and instrument stores (www.dentonmainstreet.org).", 
197,197,Waco,Texas,138183,124805,10.72,89,230.5,1510,580,31°33′36″N97°11′10″W﻿ / ﻿31.5601°N 97.1860°W﻿ /31.5601; -97.1860﻿ ,"/wiki/Waco,_Texas","Don't feel bad if you associate this unassuming town with its unlucky past: it's probably best known for the infamous 1993 'Waco Siege' that took place nearby and 2015's big biker shootout that left nine dead and hundreds arrested. Notoriety aside, this is a pleasant little city with a few diversions (Dr Pepper, woolly mammoths, anyone?).", 
198,198,Surprise,Arizona,138161,117517,17.57,107.9,279.5,1230,470,33°40′14″N112°27′10″W﻿ / ﻿33.6706°N 112.4527°W﻿ /33.6706; -112.4527﻿ ,"/wiki/Surprise,_Arizona",,
199,199,Carrollton,Texas,136879,119097,14.93,36.3,94,3674,1419,32°59′18″N96°53′59″W﻿ / ﻿32.9884°N 96.8998°W﻿ /32.9884; -96.8998﻿ ,"/wiki/Carrollton,_Texas",,
200,200,West Valley City,Utah,136401,129480,5.35,35.5,91.9,3847,1485,40°41′19″N112°00′42″W﻿ / ﻿40.6885°N 112.0118°W﻿ /40.6885; -112.0118﻿ ,"/wiki/West_Valley_City,_Utah",,
201,201,Charleston,South Carolina,136208,120083,13.43,109,282.3,1233,476,32°49′04″N79°57′32″W﻿ / ﻿32.8179°N 79.9590°W﻿ /32.8179; -79.9590﻿ ,"/wiki/Charleston,_South_Carolina","The zenith of old-world charm, Charleston whisks you into the nation's tumultuous past and nourishes your mind, heart and stomach in roughly equal measure.",
202,202,Warren,Michigan,134587,134056,0.4,34.4,89.1,3928,1517,42°29′34″N83°01′30″W﻿ / ﻿42.4929°N 83.0250°W﻿ /42.4929; -83.0250﻿ ,"/wiki/Warren,_Michigan",,
203,203,Hampton,Virginia,134313,137436,−2.27,51.5,133.4,2629,1015,37°02′53″N76°17′50″W﻿ / ﻿37.0480°N 76.2971°W﻿ /37.0480; -76.2971﻿ ,"/wiki/Hampton,_Virginia","To flee London's concrete urban interior and get a look at the city's leafy, riverside complexion – where the crowds thin out, the air is cleaner and the landscapes become increasingly pastoral – make a beeline to Richmond, Kew and Hampton Court. Wander by the river, explore haunted Tudor palaces (Hampton Court), get lost in beautiful Kew Gardens, go deer-spotting in Richmond Park, traipse around Wimbledon Common and down a pint waterside as the sun shimmers on the Thames at sunset.",
204,204,Gainesville,Florida,133857,124354,7.64,62.3,161.4,2112,815,29°40′44″N82°20′46″W﻿ / ﻿29.6788°N 82.3461°W﻿ /29.6788; -82.3461﻿ ,"/wiki/Gainesville,_Florida","The state's premier college town is an energetic change of pace from rural, conservative north Florida. While Gainesville is hardly hippie central, you'll find graffiti murals, fair-trade coffee, funky music and similar amenities that feel a little incongruous after miles of countryside. With that in mind, it's worth remembering said countryside gives way to pristine nature, itself a major attraction for the outdoors-loving residents of Gainesville.", 
205,205,Visalia,California,133800,124442,7.52,37.5,97.1,3495,1349,36°19′38″N119°19′44″W﻿ / ﻿36.3273°N 119.3289°W﻿ /36.3273; -119.3289﻿ ,"/wiki/Visalia,_California","Its agricultural prosperity and well-maintained downtown make Visalia one of the valley’s convenient stops en route to Sequoia and Kings Canyon National Parks or the Sierra Peaks. Bypassed a century ago by the railroad, the city is 5 miles east of Hwy 99, along Hwy 198. Its downtown has old-town charm and makes for a nice stroll, with plenty of restaurants and shops.", 
206,206,Coral Springs,Florida,133507,121096,10.25,23.8,61.6,5465,2110,26°16′15″N80°15′33″W﻿ / ﻿26.2707°N 80.2593°W﻿ /26.2707; -80.2593﻿ ,"/wiki/Coral_Springs,_Florida",,
207,207,Columbia,South Carolina,133451,129272,3.23,133.5,345.8,1006,388,34°01′45″N80°53′53″W﻿ / ﻿34.0291°N 80.8980°W﻿ /34.0291; -80.8980﻿ ,"/wiki/Columbia,_South_Carolina","Sigh-inducing mountains, mist-shrouded forests and epic tooth-and-claw wildlife: this is Canada’s legendary outdoor wonderland. And it's served alongside a full menu of distinctive, ever-inviting communities.",
208,208,Cedar Rapids,Iowa,133174,126326,5.42,70.8,183.4,1852,715,41°58′01″N91°40′40″W﻿ / ﻿41.9670°N 91.6778°W﻿ /41.9670; -91.6778﻿ ,"/wiki/Cedar_Rapids,_Iowa",,
209,209,Sterling Heights,Michigan,132964,129699,2.52,36.5,94.5,3628,1401,42°34′52″N83°01′49″W﻿ / ﻿42.5812°N 83.0303°W﻿ /42.5812; -83.0303﻿ ,"/wiki/Sterling_Heights,_Michigan",,
210,210,New Haven,Connecticut,130418,129779,0.49,18.7,48.4,6948,2683,41°18′39″N72°55′30″W﻿ / ﻿41.3108°N 72.9250°W﻿ /41.3108; -72.9250﻿ ,"/wiki/New_Haven,_Connecticut",,
211,211,Stamford,Connecticut,129775,122643,5.82,37.6,97.4,3434,1326,41°04′48″N73°32′46″W﻿ / ﻿41.0799°N 73.5460°W﻿ /41.0799; -73.5460﻿ ,"/wiki/Stamford,_Connecticut","One of England's prettiest towns, Stamford seems frozen in time, with elegant streets lined with honey-coloured limestone buildings and hidden alleyways dotted with alehouses, interesting restaurants and small independent boutiques. A forest of historic church spires rises overhead and the gently gurgling River Welland meanders through the town centre. It's a favourite with filmmakers seeking the postcard vision of England, and has appeared in everything from Pride and Prejudice to the Da Vinci Code.", 
212,212,Concord,California,129688,122067,6.24,30.5,79,4221,1630,37°58′20″N122°00′06″W﻿ / ﻿37.9722°N 122.0016°W﻿ /37.9722; -122.0016﻿ ,"/wiki/Concord,_California","New Hampshire's capital is a trim and tidy city with a wide Main St dominated by the striking State House, a granite-hewed 19th-century edifice topped with a glittering dome. The stone of choice in 'the Granite State' appears in other fine buildings about Concord's historical center, cut from the still-active quarries on Rattlesnake Hill, just north of town. Concord is worth an afternoon visit and also makes a good base for visiting the idyllic Canterbury Shaker Village.", 
213,213,Kent,Washington,129618,92411,40.26,33.7,87.3,3784,1461,47°23′17″N122°12′46″W﻿ / ﻿47.3880°N 122.2127°W﻿ /47.3880; -122.2127﻿ ,"/wiki/Kent,_Washington","Kent isn’t described as the garden of England for nothing. Within its sea-lined borders you’ll find a fragrant landscape of gentle hills, fertile farmland, cultivated country estates and fruit-laden orchards. It could also be described as the beer garden of England as it produces the world-renowned Kent hops and some of the country’s finest ales and wines from its numerous vineyards. At its heart is spellbinding Canterbury, crowned by its enthralling cathedral. You’ll also find beautiful coastal stretches dotted with beach towns and villages, from old-school Broadstairs to gentrified Whitstable and the aesthetically challenged port town of Dover.",
214,214,Santa Clara,California,129488,116468,11.18,18.4,47.7,6845,2643,37°21′53″N121°58′04″W﻿ / ﻿37.3646°N 121.9679°W﻿ /37.3646; -121.9679﻿ ,"/wiki/Santa_Clara,_California",,
215,215,Elizabeth,New Jersey,128885,124969,3.13,12.3,31.9,10459,4038,40°39′59″N74°11′37″W﻿ / ﻿40.6664°N 74.1935°W﻿ /40.6664; -74.1935﻿ ,"/wiki/Elizabeth,_New_Jersey",,
216,216,Round Rock,Texas,128739,99887,28.88,35.6,92.2,3396,1311,30°31′31″N97°39′58″W﻿ / ﻿30.5252°N 97.6660°W﻿ /30.5252; -97.6660﻿ ,"/wiki/Round_Rock,_Texas",,
217,217,Thousand Oaks,California,127690,126683,0.79,55.2,143,2335,902,34°11′36″N118°52′27″W﻿ / ﻿34.1933°N 118.8742°W﻿ /34.1933; -118.8742﻿ ,"/wiki/Thousand_Oaks,_California",,
218,218,Lafayette,Louisiana,126143,120623,4.58,53.8,139.3,2372,916,30°12′27″N92°01′43″W﻿ / ﻿30.2074°N 92.0285°W﻿ /30.2074; -92.0285﻿ ,"/wiki/Lafayette,_Louisiana","The term 'undiscovered gem' gets thrown around too much in travel writing, but Lafayette really fits the bill. On Sunday this town is deader then a cemetery, but for the rest of the week there's an entirely fantastic amount of good eating to be done and lots of music venues – this is a university town so bands are rocking most any night. One of the best free music festivals in the country is also held here. Heck, even those quiet Sundays have a saving grace: some famously delicious brunch options.",
